"Member","Name","Image","Staked (ROAR)","Voting power"
"terra1xjhz9r93m2crchpwgya8vf5d9y2kd0h50vwwtf","","","116783660.572013","0.05261092409053624"
"terra10pa0qv7mrqst053zhv9hxxt9mwhmr45ggguygs","","","115187764.899962","0.051891974661759634"
"terra1qgnzhadyj3cqvk8jrtptcmvsjjywncnj4ada3d","","","113996946.216233","0.05135551201734178"
"terra1a8gx9m553deeajj8jcdlp37tgwqyy2c02z8u94","","","112500000","0.050681139220975405"
"terra1zzzh8fmjllwn4xwrrft6es9dnrlv9axaklf0yy","","","110170753.514547","0.04963181597289353"
"terra12ju9wyjjlmhlvpvuzl793z0dedwk3h7uye5ms3","","","110000000","0.04955489168273151"
"terra1s3c8p4my6vd6wptpms305mscahdea7mukju4ac","","","109662331.675859","0.04940277243520881"
"terra1ur6629jtzrk7fr94vlg9dythm5nnukay7m00sv","","","108812859.966851","0.04902008626677758"
"terra1qghactqzymfyep4r2lvu3zfzs5eswz39vymlwe","","/placeholders/5.svg","108793468.405751","0.04901135038759694"
"terra1u5mrfn4kjk0kaa26p6a8vu8kdra8phucdxamdg","","","108037607.581821","0.04867083583071447"
"terra1dve8zlfxlwajnw4gxkd5540mr95wxjm3eeckep","","","105861354.87794","0.047690436130577434"
"terra1dzyq59pa06al3dph3vax096m2ctpg67nlyk9xx","","","103423631.414548","0.04659224411075158"
"terra1hch3fmt0kk2verlk26srsy67x8gr920j5cll3g","","/placeholders/5.svg","101965599.140581","0.04593540200705739"
"terra1aewzxqges8n8p5f0u0sve4w6gktlnkkjjkre43","","","101310884.808457","0.04564045384513433"
"terra18au39029aa4mey00fap4l74c936l8efjuqhf6u","","","100801566.216324","0.04541100632090567"
"terra1wxc4ufxg48h56kqhaaegzljjmup53rjxj70y5t","","","100000001","0.045049901980254936"
"terra1uavhv6xv2dteaf3f43msqcu3j3l80p63xz6geq","","","100000000.767252","0.04504990187540219"
"terra1n75apcsmzejuwu6qn2zath5maaw83d0s4gmx4j","","","100000000.216954","0.045049901627493484"
"terra14adge4r5tvuvqjuvd66kgupmee8l39wnna2lg3","","","100000000","0.045049901529755916"
"terra16cemgtx5cwuxzfprp7zg96pmkpkhzzyf8gav4r","","","100000000","0.045049901529755916"
"terra19q738dza6ajflhc4vuqvv0ffjp5hcwyu5f0v6z","","","100000000","0.045049901529755916"
"terra1ksk66lcvzwaanc47nvn3athj4yzcpay8z8ru04","","","100000000","0.045049901529755916"
"terra1r8w7rvsg6j2c22jdq0jp02cgyspa7r5hzc95zk","","","100000000","0.045049901529755916"
"terra1vjgada9t78eh4v8whp9p8cg4evq4erusx9w6w8","","","95000000","0.04279740645326812"
"terra1qqtgqsp4a6vpcpew7dayraf8fp64s3dndqwk3h","","","87000000","0.039193414330887646"
"terra14cxnscmgwjaaqnfnpmr0edha9qz0hx4f6xkgay","","","86742031.423489","0.03907719974119173"
"terra152ptnvk40zwh0vctnmg9fs02pk2p2cz5r008xj","","","82874234.425709","0.037334761002320985"
"terra10kzjkq4f3cd7f6hvjqu3etlpn2t437k5xexa0r","","","81882411.529425","0.03688794576419547"
"terra1s4h4czywhezecpzxxrj85sjfmdhq7lx9ldl3s6","","","76281562.67339","0.03436476886972124"
"terra142qcgrmqk3x8nh49de76w66lynmrapqjlxvpm8","","","66281041.3929","0.02985954388039821"
"terra1kfcu5q8vamz693rf4agsjfskk3k5y9f8nm94fk","","","62180479.528797","0.028012244798453084"
"terra1nuzsnr2jmthuwchjr2vzmj3hjnhz5ud7t4jprv","","","61778228.911443","0.027831031291432273"
"terra1f0p979gm6evwkhz8ahw0vxvgsjs3gtf4ff0hhn","","","60206782.051161","0.027123096028282792"
"terra1sy33tzrp9k93jkzu94xjk5ewhlwl075ash7fys","","","59974734.262369","0.02701855872793002"
"terra1pye0qsy43zmvrvxp8lt9rt3w30ydqm0t7rcrd5","","","58739107.033341","0.026461909877978054"
"terra1ecvakrgttkuqkeae4p900sg5655g2a64na6r9t","","","57900466.187123","0.026084103002568533"
"terra1n4wqxjv67882p7qwq6yvjqv787cudfh4kgrc9p","","","53508947.005449","0.024105727935564054"
"terra1ldcmx4s6z75fnmrp8zlz9qfskshyppkh67dcfj","","","52961724.423569","0.023859204701278523"
"terra1z0nvmv57cqax4s6lssft9yhfn8ksxcf7dm7mq8","","","52700078.028642","0.023741333258007754"
"terra1tdzwcnwv03age8x35secn6xn0wsh2e84njrpu8","","","51174557.10688","0.023054087584938147"
"terra1j5ul9gvnvle86z2vfu39kvawx7vz5d9gttu7mt","","","50682885.610771","0.022832590060091168"
"terra167d69atdud4pghdd2djt7r7dujghzynlxx8ct4","","","50611744.291269","0.022800540965708545"
"terra1hwsm9fm0j79lgfgd37z8fe6gsxl4d4mxtc5td8","","","50000000","0.022524950764877958"
"terra1fufgf8kq8pjqqplnmf9vt85pz579255l2kmgy5","","","46476490.275979","0.020937613103815124"
"terra1ga7x6aqwvpf8rux4l4h68ugm9ewtps2afqntqh","","","46134414","0.02078350807832993"
"terra1t7emhhm6pk0ksxgr52tgjjzpxlzdv8rm0cug3y","","","43928087.078302","0.019789559972680486"
"terra1u53z4uhcz08hkmmmqmld7r5yg4pgc8k2a24ge5","","","43635830.994769","0.019657898894834148"
"terra1gnuzu4cp7wh900rg0xgvkeq5rpaluw6srv6l0k","","","43449713.674864","0.019574053225487123"
"terra1ugv30trhlherg79vngsmuv0wq8xd07xy998qvr","","","41808111.616932","0.018834513114878312"
"terra1m7u9ac00f2ea76xasxlm8m4gktxrvpa72jwd30","","","40649412.990476","0.01831252052463325"
"terra1yeup0dncz3mta0zsu0g4vag4xzcsmwdvnenjkt","","","40003800","0.0180216725081605"
"terra17w93uxwzg55xc97w3lhc9fln2y3j8gje4qr3r7","","","36974890.052138","0.016657151559223687"
